Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg_SoS,ORtg_SoS,DRtg_SoS,NetRtg_NCOS
1,Louisville,Amer,31-6,+30.41,118.9,88.5,67.2,-.045,+4.31,107.0,102.7,-4.65
2,Arizona,P12,33-5,+30.11,116.5,86.4,62.8,+.014,+9.30,109.9,100.6,+1.62
3,Florida,SEC,36-3,+28.57,116.5,88.0,61.3,+.053,+9.02,109.4,100.4,+2.39
4,Virginia,ACC,30-7,+26.46,114.8,88.3,59.5,+.012,+8.67,109.4,100.8,+1.57
5,Wisconsin,B10,30-8,+25.89,122.0,96.1,62.4,+.019,+11.44,110.2,98.8,+3.33
6,Wichita St.,MVC,35-1,+25.36,117.8,92.4,63.5,-.009,+1.04,105.8,104.8,+2.89
7,Kansas,B12,25-10,+24.60,119.3,94.7,66.6,-.051,+12.13,112.2,100.0,+9.47
8,Duke,ACC,26-9,+24.25,124.7,100.4,64.6,-.035,+8.76,109.2,100.5,+2.40
9,Michigan St.,B10,29-9,+23.92,118.6,94.7,64.4,-.003,+10.44,110.2,99.7,+0.57
10,Tennessee,SEC,24-13,+23.69,117.9,94.2,61.6,-.099,+8.12,108.9,100.8,+1.46
11,Villanova,BE,29-5,+23.68,116.3,92.6,66.0,+.075,+7.47,110.1,102.6,+2.61
12,Michigan,B10,28-9,+23.44,123.9,100.5,61.0,+.047,+11.65,110.3,98.6,+0.62
13,Kentucky,SEC,29-11,+22.55,118.3,95.8,64.0,-.025,+10.73,110.5,99.8,+4.19
14,UCLA,P12,28-9,+22.53,118.7,96.1,68.4,-.019,+7.63,109.1,101.5,-3.26
15,Connecticut,Amer,32-8,+22.13,113.6,91.5,63.2,+.080,+9.43,109.7,100.3,+0.91
16,Pittsburgh,ACC,26-10,+21.89,116.9,95.0,62.2,-.038,+7.62,108.0,100.4,-3.66
17,Creighton,BE,27-8,+21.72,124.2,102.5,63.6,+.024,+7.50,108.5,101.0,+1.31
18,Syracuse,ACC,28-6,+21.62,114.6,93.0,59.6,+.016,+7.23,109.4,102.2,-1.01
19,Ohio St.,B10,25-10,+21.30,109.3,88.0,64.0,-.043,+7.80,109.2,101.4,-3.36
20,Iowa St.,B12,28-8,+21.07,118.9,97.8,70.2,+.064,+10.77,111.1,100.4,+1.44
21,Oklahoma St.,B12,21-13,+20.98,115.9,95.0,67.2,-.110,+9.06,109.9,100.8,-1.15
22,Iowa,B10,20-13,+20.44,120.2,99.8,68.6,-.116,+8.35,108.6,100.2,-6.19
23,San Diego St.,MWC,31-5,+20.38,110.4,90.0,62.3,+.067,+5.18,108.0,102.8,+2.71
24,Gonzaga,WCC,29-7,+20.14,114.0,93.8,65.0,+.016,+5.05,109.0,103.9,+2.20
25,VCU,A10,26-9,+19.80,109.2,89.4,68.9,-.058,+5.45,107.4,102.0,+1.33
26,Baylor,B12,26-12,+19.39,118.9,99.5,61.3,+.012,+10.31,111.0,100.6,-0.36
27,Cincinnati,Amer,27-7,+19.24,109.7,90.4,61.1,+.036,+4.72,107.3,102.6,-4.57
28,Oregon,P12,24-10,+19.02,118.9,99.9,67.5,-.037,+7.39,109.1,101.8,-1.18
29,North Carolina,ACC,24-10,+18.44,112.6,94.2,69.2,+.000,+8.83,110.5,101.6,+1.31
30,Oklahoma,B12,23-10,+17.90,117.9,100.0,69.6,-.022,+9.13,110.2,101.0,+0.50
31,SMU,Amer,27-10,+17.66,111.3,93.7,64.5,-.043,+4.03,106.3,102.2,-5.22
32,Harvard,Ivy,27-5,+17.58,112.9,95.3,64.1,+.020,+0.13,104.5,104.3,+0.98
33,New Mexico,MWC,27-7,+17.15,113.5,96.3,64.4,+.032,+4.83,107.7,102.9,+3.24
34,Stanford,P12,23-13,+16.06,112.4,96.4,65.3,+.016,+9.42,110.2,100.7,+2.34
35,Saint Louis,A10,27-7,+15.72,105.7,90.0,65.6,+.040,+5.04,107.2,102.2,-1.50
36,Memphis,Amer,24-10,+15.22,112.4,97.1,67.5,+.048,+7.25,108.3,101.1,+0.02
