Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg_SoS,ORtg_SoS,DRtg_SoS,NetRtg_NCOS
37,Louisiana Tech,CUSA,29-8,+15.10,110.4,95.3,69.6,+.002,-1.67,103.5,105.2,-4.21
38,Florida St.,ACC,22-14,+14.86,112.2,97.4,65.2,-.005,+9.31,109.4,100.1,+2.05
39,Arizona St.,P12,21-12,+14.82,111.2,96.4,67.4,+.003,+7.50,108.6,101.1,-2.60
40,Utah,P12,21-12,+14.81,110.7,95.9,63.6,-.052,+5.51,107.8,102.3,-11.55
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
41,Texas,B12,24-11,+14.52,111.8,97.3,66.8,+.092,+9.61,110.9,101.3,-1.74
42,Dayton,A10,26-11,+14.25,113.8,99.6,63.8,+.038,+6.25,107.7,101.4,-0.57
43,Maryland,ACC,17-15,+14.20,109.4,95.2,67.4,-.074,+8.65,109.0,100.4,+2.03
44,Arkansas,SEC,22-12,+14.14,111.1,96.9,70.7,-.033,+5.04,107.5,102.5,-5.18
45,Kansas St.,B12,20-13,+14.10,107.8,93.7,63.3,+.001,+8.17,110.5,102.3,-4.06
46,Minnesota,B10,25-13,+13.93,113.8,99.9,63.3,+.044,+8.28,108.9,100.7,-3.49
47,George Washington,A10,24-9,+13.82,110.8,97.0,65.3,+.056,+5.56,107.3,101.7,-0.08
48,Providence,BE,23-12,+13.81,114.6,100.8,62.9,+.051,+8.35,109.2,100.8,+0.81
49,BYU,WCC,23-12,+13.77,114.5,100.7,70.8,-.004,+6.59,109.6,103.0,+8.43
50,Massachusetts,A10,24-9,+13.46,110.0,96.5,70.3,+.065,+7.33,108.0,100.6,+5.53
51,Clemson,ACC,23-13,+13.35,107.1,93.7,58.7,+.008,+5.98,108.5,102.6,-6.67
52,Xavier,BE,21-13,+13.11,112.9,99.8,64.2,+.017,+7.89,109.1,101.2,+0.41
53,Illinois,B10,20-15,+13.10,106.5,93.4,61.2,+.007,+9.40,109.8,100.4,-3.73
54,St. John's,BE,20-13,+13.10,108.5,95.4,66.6,-.046,+5.32,108.7,103.3,-3.04
55,Saint Joseph's,A10,24-10,+12.93,112.3,99.4,64.3,+.079,+6.18,107.5,101.3,+0.17
56,Nebraska,B10,19-13,+12.64,108.8,96.1,64.7,+.047,+9.30,108.4,99.1,-1.95
57,Georgetown,BE,18-15,+12.39,113.0,100.6,63.3,-.023,+8.32,109.8,101.5,+2.53
58,West Virginia,B12,17-16,+12.29,115.5,103.2,66.3,-.066,+8.80,110.3,101.5,-2.82
59,LSU,SEC,20-14,+12.12,110.7,98.5,68.6,-.010,+7.22,107.9,100.7,-2.10
60,California,P12,21-14,+12.00,111.7,99.7,64.6,+.016,+7.57,109.0,101.5,-0.27
61,North Dakota St.,Sum,26-7,+11.76,115.5,103.7,62.3,+.089,+1.38,106.8,105.4,+5.32
62,N.C. State,ACC,22-14,+11.60,114.0,102.4,64.7,+.065,+7.77,108.4,100.7,-4.31
63,Indiana,B10,17-15,+11.55,107.8,96.2,67.1,-.069,+7.01,108.8,101.8,-8.47
64,Southern Miss,CUSA,29-7,+11.51,110.9,99.4,62.9,+.103,+0.13,104.4,104.3,-0.66
65,Saint Mary's,WCC,23-12,+11.39,112.6,101.2,61.4,+.013,+3.87,108.1,104.2,-0.69
66,Georgia St.,SB,25-9,+11.28,115.6,104.3,64.3,-.025,-2.18,103.5,105.7,-0.58
67,Colorado,P12,23-12,+11.20,107.7,96.5,64.8,+.120,+8.74,109.5,100.8,+1.71
68,Marquette,BE,17-15,+11.05,109.7,98.6,64.5,-.051,+7.74,109.0,101.2,-1.39
69,Missouri,SEC,23-12,+10.84,114.1,103.2,64.8,+.062,+6.06,107.5,101.4,-1.15
70,Stephen F. Austin,Slnd,32-3,+10.83,112.3,101.5,61.2,+.073,-7.12,102.0,109.2,-4.19
71,Green Bay,Horz,24-7,+10.77,108.7,98.0,65.5,+.037,+0.11,104.7,104.6,+3.19
72,New Mexico St.,WAC,26-10,+10.54,112.9,102.4,65.2,-.030,-3.64,103.0,106.7,+2.60
73,Boise St.,MWC,21-13,+10.53,114.6,104.1,63.9,-.056,+3.28,107.0,103.7,+0.38
74,Manhattan,MAAC,25-8,+10.21,107.2,97.0,67.7,-.008,-0.20,105.6,105.8,+3.46
75,Vermont,AE,22-11,+10.16,109.9,99.7,62.1,-.064,-3.91,101.8,105.7,+7.39
76,Iona,MAAC,22-11,+10.14,118.6,108.5,68.6,-.024,+0.89,105.5,104.6,+8.19
77,Miami FL,ACC,17-16,+9.88,109.2,99.3,57.0,-.045,+5.70,107.2,101.5,-3.54
78,Georgia,SEC,20-14,+9.40,109.0,99.6,62.8,+.033,+5.06,107.2,102.2,-3.80
79,UNLV,MWC,20-13,+9.15,108.2,99.0,65.2,-.048,+0.46,105.5,105.0,-7.31
80,Texas Tech,B12,14-18,+9.01,111.4,102.4,59.9,-.053,+9.58,110.7,101.1,-2.67
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
81,Penn St.,B10,16-18,+9.00,110.3,101.3,64.4,-.049,+7.64,107.7,100.1,-2.52
82,Tulsa,CUSA,21-13,+8.93,106.1,97.2,66.8,-.023,+0.57,104.9,104.3,+2.81
83,Mississippi,SEC,19-14,+8.87,111.2,102.3,68.1,-.006,+5.13,106.5,101.3,-0.73
84,St. Bonaventure,A10,18-15,+8.75,111.2,102.4,65.8,-.066,+4.20,106.9,102.7,-2.38
85,Cleveland St.,Horz,21-12,+8.67,110.6,102.0,62.4,-.052,+0.62,105.4,104.8,+1.70
86,Alabama,SEC,13-19,+8.54,107.8,99.2,62.0,-.091,+9.14,110.3,101.2,+5.93
87,Mercer,ASun,27-9,+8.34,110.8,102.4,63.6,+.022,-4.44,103.6,108.0,+4.65
88,San Francisco,WCC,21-12,+8.26,112.5,104.3,63.6,+.051,+4.01,108.0,104.0,-0.10
89,Middle Tennessee,CUSA,24-9,+8.24,105.3,97.0,62.6,+.047,-1.84,103.3,105.1,-2.15
90,UC Irvine,BW,23-12,+8.16,103.9,95.7,62.8,-.020,-1.07,105.9,107.0,+1.82
91,Richmond,A10,19-14,+7.99,105.3,97.3,61.8,+.026,+4.95,107.5,102.5,-0.29
92,North Carolina Central,MEAC,28-6,+7.98,108.6,100.7,62.3,+.040,-10.35,98.1,108.5,-1.94
93,Purdue,B10,15-17,+7.89,108.4,100.5,67.2,-.040,+7.85,108.7,100.8,-5.95
94,Seton Hall,BE,17-17,+7.86,108.8,100.9,64.2,-.060,+4.73,108.3,103.6,-9.12
95,Northern Iowa,MVC,16-15,+7.86,113.0,105.1,64.1,-.080,+3.43,106.1,102.7,+8.35
96,Notre Dame,ACC,15-17,+7.70,113.5,105.8,62.7,-.063,+6.52,108.7,102.2,-2.88
97,Belmont,OVC,26-10,+7.10,113.9,106.8,67.7,+.058,-1.37,104.9,106.3,+5.34
98,Washington,P12,17-15,+6.78,111.8,105.0,66.7,+.037,+5.92,107.9,102.0,-4.23
99,Butler,BE,14-17,+6.74,106.0,99.3,61.9,-.056,+6.79,108.8,102.0,-3.05
100,Princeton,Ivy,21-9,+6.46,106.4,99.9,63.2,+.014,-2.05,104.1,106.2,-2.68
101,Buffalo,MAC,19-10,+6.36,109.7,103.4,66.6,-.033,-2.39,101.7,104.1,-1.24
102,UC Santa Barbara,BW,21-9,+6.25,110.6,104.4,62.1,+.056,-0.35,104.8,105.2,+5.07
103,UTEP,CUSA,23-11,+6.02,105.3,99.3,63.0,+.015,-2.23,104.1,106.3,-0.40
104,Toledo,MAC,27-7,+5.97,115.0,109.1,67.0,+.111,-1.65,102.7,104.4,-1.68
105,La Salle,A10,15-16,+5.88,106.3,100.4,62.7,+.002,+5.92,108.0,102.1,+2.37
106,Delaware,CAA,25-10,+5.83,112.0,106.2,70.4,+.064,-0.68,105.2,105.9,+2.88
107,Oregon St.,P12,16-16,+5.81,112.5,106.7,65.5,+.005,+5.78,108.6,102.8,-4.96
108,Indiana St.,MVC,23-11,+5.61,106.8,101.2,65.3,+.082,+1.65,106.0,104.4,+0.23
109,Vanderbilt,SEC,15-16,+5.49,104.1,98.6,61.9,+.019,+6.14,107.6,101.4,-0.88
110,Texas A&M,SEC,18-16,+5.41,101.4,95.9,61.8,-.013,+2.04,105.5,103.5,-10.94
111,Portland,WCC,15-16,+5.40,109.2,103.8,64.9,-.110,+0.79,106.3,105.5,-8.19
112,South Carolina,SEC,14-20,+5.30,107.5,102.2,65.4,-.052,+7.36,108.3,100.9,+0.34
113,Louisiana Lafayette,SB,23-12,+5.19,110.2,105.0,68.5,+.038,-0.57,105.0,105.6,+4.65
114,Georgia Tech,ACC,16-17,+5.17,104.8,99.6,64.2,-.002,+6.28,108.5,102.2,-5.68
115,Rhode Island,A10,14-18,+5.06,104.4,99.3,64.1,-.067,+4.82,106.8,102.0,-2.59
116,Fresno St.,MWC,21-18,+5.05,110.2,105.2,65.7,+.013,+3.86,106.2,102.3,+5.20
117,Wake Forest,ACC,17-16,+4.99,106.6,101.6,66.4,+.059,+7.26,109.5,102.2,-6.16
118,Wyoming,MWC,18-15,+4.99,105.5,100.5,59.4,-.053,+1.70,106.0,104.3,-4.87
119,Columbia,Ivy,21-13,+4.67,107.6,103.0,59.9,-.013,-2.35,103.2,105.5,-3.07
120,American,Pat,20-13,+4.57,103.4,98.9,59.7,+.007,-2.59,103.6,106.2,-0.10
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
121,Utah St.,MWC,18-14,+4.48,109.8,105.3,62.2,+.009,+1.99,105.8,103.8,-5.53
122,Auburn,SEC,14-16,+4.39,109.8,105.4,66.0,-.025,+4.61,106.8,102.2,-7.93
123,Davidson,SC,20-13,+4.18,113.3,109.1,66.1,-.013,-4.71,102.4,107.1,+8.01
124,Canisius,MAAC,21-13,+4.14,112.5,108.3,65.3,+.022,-1.19,104.9,106.1,+1.69
125,Eastern Kentucky,OVC,24-10,+3.96,112.4,108.4,64.2,+.036,-4.97,104.1,109.0,-5.04
126,Boston University,Pat,24-11,+3.82,106.3,102.5,65.1,+.077,-2.58,103.4,106.0,+3.22
127,Ohio,MAC,25-12,+3.76,106.5,102.7,64.3,+.035,-2.00,103.1,105.1,-1.10
128,Colorado St.,MWC,16-16,+3.51,110.5,107.0,64.9,-.073,+0.84,105.4,104.6,-7.23
129,Drexel,CAA,16-14,+3.47,105.2,101.8,62.4,-.032,+0.37,105.7,105.4,+6.42
130,Towson,CAA,25-11,+3.45,110.6,107.2,63.9,+.080,-3.45,103.7,107.1,-4.90
131,Western Michigan,MAC,23-10,+3.36,106.3,103.0,65.2,+.098,-1.86,103.9,105.7,-3.25
132,Houston,Amer,17-16,+3.35,111.1,107.7,65.4,+.057,+4.37,105.9,101.5,-9.04
133,Wright St.,Horz,21-15,+3.35,100.4,97.1,63.4,-.062,-2.58,103.9,106.5,-7.41
134,Northwestern,B10,14-19,+3.33,98.3,94.9,59.9,+.033,+9.51,110.2,100.7,-3.83
135,Murray St.,OVC,23-11,+3.23,109.0,105.8,66.2,+.032,-4.46,104.3,108.8,+2.86
136,Eastern Michigan,MAC,22-15,+3.17,98.5,95.3,63.0,+.019,+0.36,105.4,105.0,+8.94
137,Hawaii,BW,20-11,+3.03,111.0,108.0,66.9,-.045,-3.89,104.0,107.9,-4.32
138,San Diego,WCC,18-17,+2.98,105.4,102.5,61.7,-.020,+2.08,107.3,105.3,-4.75
139,Denver,Sum,16-15,+2.86,110.6,107.7,57.8,-.030,+0.32,105.3,105.0,+3.83
140,South Dakota St.,Sum,19-13,+2.77,107.0,104.2,65.5,-.003,-1.49,104.7,106.2,+1.45
141,George Mason,A10,11-20,+2.67,105.8,103.2,65.0,-.036,+5.64,107.7,102.1,+1.77
142,Boston College,ACC,8-24,+2.44,114.3,111.8,61.2,-.073,+10.29,109.8,99.5,+8.59
143,Nevada,MWC,15-17,+2.21,109.5,107.3,63.4,+.027,+3.20,107.3,104.1,+1.31
144,Long Beach St.,BW,15-17,+2.17,104.9,102.7,64.6,-.023,+2.95,107.3,104.4,+13.73
145,Akron,MAC,21-13,+2.10,105.0,102.9,64.0,+.073,-0.80,103.7,104.5,+0.10
146,IPFW,Sum,25-11,+2.08,110.1,108.0,65.7,+.062,-3.63,103.2,106.8,-4.90
147,Illinois St.,MVC,18-16,+1.98,101.9,99.9,66.7,+.029,+1.34,105.5,104.1,+2.30
148,Pacific,WCC,18-16,+1.98,109.5,107.5,66.1,+.057,+3.53,107.8,104.3,+1.32
149,Quinnipiac,MAAC,20-12,+1.89,111.3,109.4,68.3,+.055,-1.69,103.7,105.3,-1.31
150,Temple,Amer,9-22,+1.68,110.7,109.1,66.3,-.078,+7.08,108.4,101.3,+2.40
151,USC,P12,11-21,+1.53,103.5,102.0,68.4,-.014,+8.70,109.7,101.0,-0.45
152,Duquesne,A10,13-17,+1.53,110.6,109.0,66.5,-.053,+1.68,104.4,102.7,-9.59
153,Yale,Ivy,19-14,+1.29,102.8,101.5,63.5,+.080,+0.85,105.6,104.7,+1.83
154,Santa Clara,WCC,14-19,+1.18,107.3,106.1,63.8,-.043,+3.18,107.6,104.5,-3.87
155,UCF,Amer,13-18,+1.05,107.1,106.1,66.3,-.047,+5.55,107.4,101.9,-8.88
156,UAB,CUSA,18-13,+1.02,104.1,103.1,66.8,-.009,-1.94,102.8,104.7,-3.02
157,Missouri St.,MVC,20-13,+1.01,106.5,105.5,63.0,+.114,+0.73,104.8,104.0,-2.81
158,Holy Cross,Pat,20-14,+0.98,104.5,103.5,62.7,+.027,-2.60,103.1,105.7,+0.54
159,Pepperdine,WCC,15-16,+0.93,107.8,106.9,64.9,+.025,+2.95,107.1,104.2,-3.98
160,Bucknell,Pat,16-14,+0.91,103.0,102.1,62.9,-.042,-2.59,103.4,106.0,+2.46
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
161,Arkansas St.,SB,19-13,+0.59,106.6,106.0,66.6,+.003,-3.49,103.0,106.5,-4.87
162,Brown,Ivy,15-14,+0.59,101.1,100.5,68.3,-.118,-3.89,102.2,106.1,-6.73
163,Valparaiso,Horz,18-16,+0.50,104.2,103.7,63.4,-.028,-0.48,104.5,105.0,+0.15
164,Siena,MAAC,20-18,+0.33,101.6,101.3,64.6,+.041,-0.36,105.8,106.2,+2.95
165,Southern Illinois,MVC,14-19,+0.17,106.1,106.0,61.5,-.061,+0.30,104.9,104.6,-2.86
166,William & Mary,CAA,20-12,+0.12,112.6,112.4,63.5,+.095,-2.05,103.4,105.4,-1.89
167,USC Upstate,ASun,19-15,+0.10,105.0,104.9,64.2,-.059,-5.48,103.1,108.6,+1.74
168,Milwaukee,Horz,21-14,+0.08,104.7,104.6,65.8,+.119,+0.03,104.4,104.4,-2.92
169,Stony Brook,AE,23-11,+0.00,105.4,105.4,64.4,+.015,-7.84,99.6,107.4,-2.03
170,Rutgers,Amer,12-21,-0.37,106.5,106.9,66.4,-.012,+4.95,107.3,102.4,-5.41
171,Charlotte,CUSA,17-14,-0.54,102.7,103.2,67.5,+.046,-2.15,103.1,105.3,-2.97
172,Weber St.,BSky,19-12,-0.62,106.4,107.0,62.9,-.009,-6.78,103.3,110.0,+6.69
173,Robert Morris,NEC,22-14,-0.65,105.8,106.5,64.2,+.093,-2.90,104.7,107.6,+5.14
174,Virginia Tech,ACC,9-22,-0.68,100.1,100.8,62.3,-.080,+6.13,108.8,102.6,-7.09
175,Old Dominion,CUSA,18-18,-0.72,100.7,101.4,62.5,+.005,-1.37,103.6,105.0,-0.55
176,Cal Poly,BW,14-20,-0.82,103.6,104.4,58.8,-.044,+2.38,107.4,105.0,+10.19
177,Nebraska Omaha,Sum,17-15,-0.86,104.5,105.4,72.2,-.053,-2.51,104.2,106.7,-1.98
178,Loyola Marymount,WCC,13-19,-0.94,105.7,106.6,67.8,+.048,+4.78,108.4,103.6,+0.92
179,Western Kentucky,SB,20-12,-0.97,101.1,102.1,64.4,+.113,-2.27,103.8,106.1,-1.14
180,Morehead St.,OVC,20-14,-1.02,102.9,103.9,67.5,+.038,-3.13,104.6,107.7,+1.03
181,Albany,AE,19-15,-1.04,102.9,103.9,61.6,+.002,-5.12,101.5,106.6,+0.91
182,Florida Gulf Coast,ASun,22-13,-1.08,100.0,101.1,66.2,+.011,-7.17,102.6,109.8,-2.98
183,DePaul,BE,12-21,-1.19,106.1,107.3,65.6,+.032,+8.44,109.5,101.0,-0.75
184,Colgate,Pat,13-18,-1.28,108.5,109.7,62.4,-.149,-4.06,102.3,106.3,-2.64
185,Northwestern St.,Slnd,17-14,-1.31,108.6,109.9,74.2,-.019,-4.75,103.1,107.9,+10.12
186,Youngstown St.,Horz,15-17,-1.33,107.9,109.3,66.0,-.053,-0.58,104.6,105.2,-2.59
187,Drake,MVC,15-16,-1.46,105.0,106.5,62.9,+.024,+0.86,105.7,104.8,-0.03
188,Oral Roberts,Slnd,17-16,-1.53,108.0,109.6,62.8,-.058,-4.70,102.4,107.1,+10.43
189,Wagner,NEC,19-12,-1.70,98.6,100.3,66.6,+.016,-6.85,102.6,109.5,-0.25
190,Washington St.,P12,10-21,-1.84,101.7,103.6,60.5,-.042,+7.58,108.9,101.3,-3.55
191,South Florida,Amer,12-20,-1.90,102.4,104.3,63.9,+.018,+3.85,106.3,102.4,-6.07
192,Wofford,SC,20-13,-1.94,100.6,102.6,60.5,+.025,-5.87,103.5,109.3,+7.63
193,Kent St.,MAC,16-16,-2.11,104.1,106.2,64.7,-.022,-2.78,102.3,105.0,-4.36
194,Oakland,Horz,13-20,-2.16,109.9,112.0,67.1,+.025,+3.70,105.8,102.1,+9.47
195,Detroit,Horz,13-19,-2.23,101.4,103.6,66.0,-.048,+0.88,105.5,104.6,+1.00
196,Bryant,NEC,18-14,-2.54,106.0,108.5,65.3,+.029,-4.92,102.2,107.1,+2.74
197,Sam Houston St.,Slnd,24-11,-2.57,105.8,108.4,64.5,+.073,-8.37,101.3,109.7,-4.04
198,Southern,SWAC,19-13,-2.58,97.6,100.2,65.6,-.035,-9.63,99.2,108.8,+12.66
199,St. Francis NY,NEC,18-14,-2.65,98.9,101.5,65.0,+.006,-5.57,103.4,109.0,+0.23
200,College of Charleston,CAA,14-18,-2.83,98.1,100.9,60.7,-.067,-2.86,104.1,107.0,-3.27
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
201,Fordham,A10,10-21,-2.86,108.8,111.7,67.5,-.035,+5.09,105.9,100.8,-3.67
202,Elon,SC,18-14,-2.95,104.6,107.5,64.4,+.033,-4.75,103.4,108.2,+5.35
203,Northeastern,CAA,11-21,-3.16,101.4,104.5,63.2,-.047,+0.26,104.9,104.7,+3.13
204,Utah Valley,WAC,20-12,-3.19,102.8,106.0,61.1,+.121,-4.50,103.1,107.6,-0.78
205,Mississippi St.,SEC,14-19,-3.35,100.3,103.6,66.8,+.032,+1.92,105.3,103.3,-14.41
206,Marist,MAAC,12-19,-3.87,101.6,105.5,64.4,-.021,-0.98,104.6,105.6,+1.81
207,Bowling Green,MAC,12-20,-3.90,93.0,96.9,65.0,-.028,-0.21,104.1,104.3,+0.10
208,Northern Illinois,MAC,15-17,-3.94,94.4,98.3,61.5,+.019,-2.38,102.9,105.2,-3.35
209,Mount St. Mary's,NEC,16-17,-3.96,107.8,111.7,68.2,+.031,-4.27,102.7,107.0,+3.09
210,VMI,BSth,22-13,-3.97,108.3,112.2,73.3,+.061,-6.32,102.9,109.2,-0.15
211,Evansville,MVC,14-19,-4.19,103.1,107.3,65.6,+.007,+1.26,105.4,104.2,-2.10
212,TCU,B12,9-22,-4.34,99.4,103.7,63.8,+.007,+10.02,110.9,100.9,-6.41
213,Hampton,MEAC,18-13,-4.38,96.4,100.8,69.7,-.000,-9.45,100.2,109.7,-2.94
214,Bradley,MVC,12-20,-4.38,100.2,104.6,62.5,-.050,-1.70,104.4,106.1,-7.33
215,UT Arlington,SB,15-17,-4.42,105.9,110.3,68.2,+.059,-0.49,104.5,104.9,+5.69
216,Montana,BSky,17-13,-4.45,107.4,111.9,59.8,+.002,-6.45,103.7,110.1,+4.97
217,Rider,MAAC,14-17,-4.52,106.9,111.4,65.4,+.041,-1.48,103.9,105.4,-1.33
218,Miami OH,MAC,13-18,-4.63,98.9,103.5,65.4,+.076,+0.26,104.6,104.4,+4.24
219,Arkansas Little Rock,SB,15-17,-4.70,101.1,105.8,66.3,+.060,-0.35,104.6,105.0,+7.34
220,Charleston Southern,BSth,13-18,-4.88,106.1,111.0,65.7,-.182,-5.51,103.3,108.8,+6.90
221,Coastal Carolina,BSth,21-13,-4.98,98.2,103.2,65.6,+.040,-8.10,102.1,110.2,-4.94
222,Dartmouth,Ivy,12-16,-4.99,103.6,108.6,62.8,-.079,-3.12,102.3,105.5,-6.84
223,Cal St. Northridge,BW,17-18,-5.10,106.3,111.4,67.5,+.029,-3.53,103.6,107.1,-6.09
224,Morgan St.,MEAC,15-16,-5.11,100.4,105.5,67.5,+.005,-5.91,101.0,106.9,+6.11
225,Cal St. Bakersfield,WAC,13-19,-5.12,100.8,105.9,63.6,-.088,-4.84,103.2,108.0,-3.13
226,Southeast Missouri St.,OVC,18-14,-5.22,108.4,113.7,69.0,-.013,-8.06,101.9,110.0,-7.82
227,Northern Colorado,BSky,18-14,-5.30,108.8,114.1,62.7,-.017,-7.90,102.0,109.9,-0.85
228,Army,Pat,15-16,-5.31,105.1,110.4,67.0,+.016,-4.44,102.3,106.7,-8.02
229,Winthrop,BSth,20-13,-5.41,103.2,108.6,64.3,+.060,-6.91,101.9,108.8,+0.45
230,Texas A&M Corpus Chris,Slnd,18-16,-5.47,105.2,110.6,60.5,+.016,-8.48,102.1,110.6,-3.28
231,FIU,CUSA,15-16,-5.48,101.4,106.9,64.7,+.054,-2.55,103.3,105.9,-2.84
232,North Texas,CUSA,16-16,-5.56,99.4,104.9,66.9,+.047,-2.74,103.0,105.8,-3.08
233,Eastern Washington,BSky,15-16,-5.56,105.7,111.3,69.0,-.028,-5.44,103.2,108.7,+6.45
234,Hartford,AE,17-16,-5.62,102.2,107.8,61.9,+.028,-6.73,100.3,107.1,-1.38
235,UNC Asheville,BSth,17-15,-5.75,106.7,112.5,69.0,+.026,-5.70,103.1,108.8,+3.00
236,Marshall,CUSA,11-22,-5.82,99.9,105.7,66.9,-.109,-1.81,103.1,104.9,-1.02
237,Western Carolina,SC,19-15,-5.82,103.7,109.5,65.6,+.028,-6.22,102.2,108.4,+1.92
238,Saint Peter's,MAAC,14-17,-5.86,98.1,103.9,60.5,+.059,-2.77,104.0,106.8,-6.58
239,East Carolina,CUSA,17-17,-5.88,106.0,111.8,63.7,+.008,-3.25,102.9,106.1,-6.45
240,Seattle,WAC,13-17,-5.95,100.4,106.3,65.3,-.065,-4.74,103.4,108.1,-3.04
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
241,Grand Canyon,WAC,15-15,-6.04,105.3,111.3,65.4,+.046,-3.21,102.4,105.6,+3.16
242,Lehigh,Pat,14-18,-6.06,98.0,104.1,64.3,+.031,-3.26,104.3,107.6,-2.97
243,East Tennessee St.,ASun,19-16,-6.16,103.5,109.6,68.6,+.018,-7.75,101.5,109.2,-5.52
244,Florida Atlantic,CUSA,10-22,-6.40,101.1,107.5,63.0,-.085,-1.01,104.4,105.4,+1.13
