Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg_SoS,ORtg_SoS,DRtg_SoS,NetRtg_NCOS
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
241,Western Carolina,SC,16-15,-6.58,100.7,107.3,67.7,+.051,-4.92,101.9,106.8,+5.69
242,Campbell,ASun,14-16,-6.61,96.0,102.6,68.7,-.053,-5.94,101.0,106.9,-5.18
243,LIU Brooklyn,NEC,16-14,-6.74,100.6,107.4,67.4,-.035,-10.91,96.3,107.2,-8.17
244,San Francisco,WCC,11-19,-6.93,104.1,111.0,64.6,+.033,+1.88,103.4,101.5,+3.72
245,Yale,Ivy,13-15,-6.95,95.3,102.2,65.4,-.015,-5.77,98.7,104.5,-0.95
246,Albany,AE,15-16,-6.99,97.3,104.3,64.3,+.046,-4.91,100.3,105.2,-3.46
247,Jackson St.,SWAC,18-15,-7.10,98.1,105.2,67.8,+.059,-8.50,97.6,106.1,+13.97
248,Western Michigan,MAC,10-21,-7.26,98.3,105.6,63.6,-.087,-3.95,98.9,102.8,-1.37
249,Centenary,Sum,8-23,-7.30,95.9,103.2,66.0,-.048,+1.41,105.5,104.1,+6.48
250,Samford,SC,16-16,-7.34,101.4,108.8,57.8,+.017,-5.67,101.1,106.8,+3.13
251,Marist,MAAC,10-23,-7.65,94.5,102.1,66.8,-.056,-1.38,100.5,101.9,-2.39
252,Central Michigan,MAC,12-19,-7.71,99.0,106.7,62.5,-.024,-5.01,98.5,103.5,-2.04
253,Eastern Washington,BSky,12-18,-7.74,97.7,105.4,63.6,+.051,-0.57,103.6,104.1,+5.81
254,Harvard,Ivy,14-14,-7.76,102.4,110.1,65.1,+.041,-6.38,98.0,104.4,-2.98
255,Presbyterian,BSth,12-17,-7.84,93.7,101.6,60.4,+.044,-2.58,101.6,104.2,+9.42
256,Jacksonville St.,OVC,11-17,-7.87,100.4,108.3,64.3,-.033,-2.65,103.4,106.0,+3.07
257,Stetson,ASun,13-17,-7.87,96.2,104.0,67.2,+.015,-2.56,100.8,103.4,+14.92
258,Towson,CAA,12-22,-7.99,101.2,109.2,65.7,+.030,-0.01,101.3,101.3,-1.23
259,Louisiana Lafayette,SB,10-20,-8.03,97.3,105.4,66.0,-.046,-2.30,102.2,104.5,+4.41
260,Appalachian St.,SC,13-18,-8.10,101.5,109.6,69.7,-.005,-5.31,101.1,106.4,+2.23
261,New Hampshire,AE,14-16,-8.46,97.2,105.6,62.1,+.043,-5.14,99.9,105.1,-5.08
262,UMBC,AE,15-17,-8.56,101.9,110.5,63.6,+.092,-3.24,100.6,103.8,-0.89
263,UNC Asheville,BSth,15-16,-8.64,102.1,110.7,67.7,+.065,-3.50,101.1,104.6,+13.06
264,Princeton,Ivy,13-14,-8.72,95.5,104.3,57.6,-.034,-9.17,96.7,105.9,-8.95
265,Lehigh,Pat,15-14,-8.84,93.9,102.8,66.0,-.016,-10.40,94.9,105.3,-11.69
266,FIU,SB,13-20,-8.84,97.3,106.1,64.2,+.049,-1.44,103.3,104.7,+3.95
267,Coppin St.,MEAC,13-19,-9.12,98.4,107.6,64.5,+.005,-4.90,98.2,103.1,+13.05
268,Eastern Illinois,OVC,12-18,-9.29,97.5,106.8,61.6,-.010,-3.90,102.9,106.8,-2.55
269,Cal Poly,BW,7-21,-9.52,97.6,107.1,65.1,-.100,-3.07,102.7,105.7,-5.44
270,Detroit,Horz,7-23,-9.54,91.4,101.0,63.9,-.004,+2.95,103.9,101.0,+1.60
271,Saint Peter's,MAAC,11-19,-9.56,93.6,103.2,62.6,+.024,-3.67,99.7,103.4,-8.82
272,Cal St. Bakersfield,ind,8-21,-9.69,100.1,109.8,64.8,+.011,-1.00,103.1,104.1,-0.86
273,Penn,Ivy,10-18,-9.70,96.1,105.8,67.2,-.032,-5.05,99.1,104.1,+0.34
274,Tennessee St.,OVC,12-18,-9.86,101.6,111.4,68.6,+.059,-3.04,102.1,105.1,-0.39
275,Hampton,MEAC,16-16,-9.99,86.3,96.3,63.5,+.029,-8.77,97.0,105.7,-1.64
276,South Carolina St.,MEAC,17-14,-10.24,96.4,106.6,68.5,-.014,-11.92,93.9,105.8,-4.07
277,Wagner,NEC,16-14,-10.42,97.6,108.0,66.5,+.056,-11.18,95.9,107.1,-13.35
278,Winthrop,BSth,11-19,-10.61,92.0,102.6,61.7,+.033,-3.11,102.4,105.5,+7.54
279,Quinnipiac,NEC,15-16,-10.81,97.2,108.0,64.6,+.027,-9.85,98.1,107.9,-9.86
280,Columbia,Ivy,12-16,-10.85,90.9,101.7,64.2,-.024,-9.19,97.3,106.5,-9.33
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
281,UMKC,Sum,7-24,-10.90,99.4,110.4,65.5,-.003,-0.14,104.0,104.2,+2.12
282,New Orleans,SB,11-19,-11.32,91.8,103.1,65.4,+.068,-4.30,101.4,105.7,-4.56
283,USC Upstate,ASun,9-21,-11.44,93.4,104.8,62.6,-.029,-2.03,102.1,104.1,+7.64
284,Coastal Carolina,BSth,11-20,-11.55,96.1,107.6,66.2,-.049,-5.77,100.2,106.0,-1.58
285,Florida Atlantic,SB,6-26,-11.58,101.5,113.1,64.1,-.075,-1.00,102.7,103.7,+2.45
286,Prairie View A&M,SWAC,17-16,-11.72,94.4,106.1,67.0,+.013,-9.82,97.4,107.3,+10.94
287,Bethune Cookman,MEAC,17-16,-11.76,89.5,101.3,59.8,+.012,-10.45,96.1,106.6,-2.18
288,Central Connecticut,NEC,13-17,-11.95,97.7,109.7,63.6,+.033,-7.70,99.5,107.2,-3.03
289,Northern Illinois,MAC,10-20,-12.27,94.6,106.9,68.9,-.049,-6.05,99.0,105.1,-7.50
290,Army,Pat,11-19,-12.46,88.3,100.7,62.8,-.033,-8.81,97.2,106.0,-9.41
291,Elon,SC,11-20,-12.50,94.9,107.4,63.9,+.027,-3.70,103.0,106.7,+6.18
292,Louisiana Monroe,SB,10-20,-12.94,97.1,110.1,67.3,+.056,-2.54,100.5,103.0,+0.72
293,Bucknell,Pat,7-23,-13.02,93.4,106.4,67.3,-.029,-4.02,99.1,103.2,+0.09
294,Pepperdine,WCC,9-23,-13.04,92.7,105.7,66.5,+.040,+2.36,104.2,101.9,+3.17
295,Florida Gulf Coast,ASun,11-20,-13.17,92.3,105.5,69.2,+.026,-4.75,100.5,105.2,-0.28
296,Maine,AE,9-21,-13.17,97.6,110.8,64.3,-.022,-5.11,99.8,104.9,-4.12
297,Western Illinois,Sum,9-20,-13.20,97.4,110.6,58.5,+.021,-3.24,102.5,105.7,-7.29
298,Toledo,MAC,7-25,-13.31,92.6,105.9,64.9,+.010,+0.34,102.1,101.7,+5.74
299,North Carolina A&T,MEAC,16-16,-13.45,91.5,105.0,69.7,+.054,-9.55,96.1,105.6,+0.71
300,SIU Edwardsville,ind,3-12,-13.72,91.2,104.9,69.5,+.028,+4.45,105.9,101.4,+4.45
301,St. Francis NY,NEC,10-20,-13.74,96.0,109.7,66.2,+.021,-6.75,98.7,105.5,-1.83
302,Arkansas Pine Bluff,SWAC,13-18,-13.77,88.0,101.7,69.7,+.082,-6.85,98.5,105.4,+15.60
303,Brown,Ivy,9-19,-13.78,95.3,109.1,64.2,-.015,-5.86,98.7,104.6,-2.29
304,Norfolk St.,MEAC,14-18,-13.91,97.5,111.4,70.0,+.012,-10.67,95.2,105.9,-4.47
305,UNC Wilmington,CAA,7-25,-14.59,99.1,113.7,70.6,+.030,+0.63,103.2,102.6,-0.08
306,High Point,BSth,9-21,-14.72,91.0,105.7,63.5,-.027,-5.92,100.6,106.5,-2.21
307,Georgia Southern,SC,8-22,-14.75,98.0,112.7,68.9,-.016,-3.06,103.1,106.1,+9.54
308,Eastern Michigan,MAC,8-24,-14.97,90.2,105.1,61.2,+.001,-1.70,100.6,102.3,+3.45
309,Colgate,Pat,10-20,-15.10,90.7,105.8,60.9,+.006,-7.14,98.0,105.2,-7.13
310,Charleston Southern,BSth,9-20,-15.63,96.5,112.1,65.0,-.005,-5.47,100.1,105.5,+1.08
311,Longwood,ind,17-14,-15.67,96.8,112.4,73.8,+.089,-12.40,95.2,107.6,-5.99
312,Savannah St.,ind,15-14,-15.76,86.0,101.8,63.4,+.122,-6.14,99.7,105.8,-0.90
313,Hartford,AE,7-26,-15.94,92.1,108.0,63.4,-.019,-2.62,101.5,104.2,+1.31
314,Dartmouth,Ivy,9-19,-16.08,92.8,108.8,64.5,+.022,-7.93,97.5,105.4,-7.42
315,Northwestern St.,Slnd,11-20,-16.18,91.8,108.0,74.8,+.062,-2.93,100.6,103.6,-2.17
316,Delaware St.,MEAC,8-24,-16.53,97.1,113.6,58.2,-.056,-4.66,98.4,103.1,+11.78
317,Lafayette,Pat,8-22,-17.09,95.1,112.2,68.4,+.032,-6.61,97.6,104.2,-6.17
318,Central Arkansas,Slnd,10-19,-17.11,94.3,111.4,64.6,+.027,-2.87,100.4,103.2,-1.63
319,Houston Baptist,ind,5-25,-18.16,95.9,114.1,70.3,-.051,+0.44,103.5,103.0,+3.77
320,Texas Southern,SWAC,7-25,-18.64,93.2,111.9,66.8,-.031,-6.75,98.8,105.5,+11.48
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
321,Fordham,A10,3-25,-18.68,93.2,111.9,66.7,-.014,+1.76,103.4,101.6,-5.05
322,Texas Pan American,ind,10-17,-18.68,93.7,112.3,62.6,+.001,-8.35,97.7,106.1,+2.99
323,Loyola Marymount,WCC,3-28,-18.69,89.2,107.9,64.2,+.005,+2.45,104.6,102.2,+2.45
324,UNC Greensboro,SC,5-25,-18.85,93.5,112.3,64.9,-.028,-3.24,102.7,106.0,+4.24
325,Mississippi Valley St.,SWAC,7-25,-18.88,94.0,112.9,66.3,-.048,-6.40,98.6,105.0,+11.74
326,Monmouth,NEC,8-23,-19.10,93.9,113.0,64.0,-.006,-7.88,98.5,106.4,-5.01
327,Furman,SC,6-24,-19.21,91.3,110.5,63.8,-.026,-3.91,102.8,106.7,+4.26
328,St. Francis PA,NEC,6-23,-19.29,94.4,113.7,62.3,-.016,-6.05,99.7,105.8,+1.09
329,Howard,MEAC,8-23,-19.82,90.9,110.8,65.4,+.000,-8.45,96.9,105.4,-1.59
330,Florida A&M,MEAC,10-21,-19.87,90.7,110.5,66.2,+.083,-6.76,97.9,104.6,+5.00
331,Southern,SWAC,8-23,-19.91,91.2,111.2,64.8,-.039,-11.51,96.0,107.5,-0.10
332,North Florida,ASun,8-22,-20.03,89.3,109.4,62.1,+.015,-4.27,100.5,104.8,-0.46
333,Bryant,ind,8-21,-20.61,94.0,114.6,61.0,+.027,-6.04,98.5,104.5,-4.14
334,Alabama A&M,SWAC,8-19,-20.67,86.0,106.7,70.2,-.012,-12.18,96.1,108.3,+9.37
335,Fairleigh Dickinson,NEC,7-23,-21.55,91.4,112.9,67.8,+.041,-6.23,99.9,106.1,+2.32
336,Southeast Missouri St.,OVC,3-27,-21.81,95.0,116.8,69.7,-.017,-3.10,102.8,105.9,-1.74
337,Kennesaw St.,ASun,7-22,-23.44,89.6,113.0,61.6,+.007,-7.19,98.3,105.5,-12.22
338,Winston Salem St.,ind,8-22,-23.92,83.9,107.8,67.3,+.011,-9.64,96.0,105.7,-8.08
339,Sacramento St.,BSky,2-27,-24.88,89.6,114.5,63.6,+.017,-1.65,103.1,104.8,+0.09
340,Alcorn St.,SWAC,6-25,-26.40,92.1,118.5,72.4,-.050,-10.26,96.5,106.7,+2.94
341,Grambling St.,SWAC,6-23,-27.10,89.8,116.9,61.8,-.015,-10.00,96.6,106.6,+4.77
342,Maryland Eastern Shore,MEAC,7-23,-27.77,89.2,116.9,63.5,+.060,-12.24,93.7,105.9,-9.51
343,North Carolina Central,ind,4-27,-28.86,85.6,114.5,69.0,-.015,-4.55,100.0,104.5,+5.90
344,NJIT,ind,1-30,-35.20,71.5,106.7,64.6,-.028,-10.64,97.6,108.3,-7.98
