Tid	Kanal A	Kanal B
(ms)	(V)	(V)

-89.34986287	4.88189000	-0.88976380
-89.30909488	4.88189000	-0.88976380
-89.26832688	4.88189000	-0.88976380
-89.22755888	4.88189000	-0.88976380
-89.18679088	4.80315000	-0.88976380
-89.14602288	4.88189000	-0.88976380
-89.10525488	4.88189000	-0.88976380
-89.06448689	4.88189000	-0.88976380
-89.02371889	4.88189000	-0.88976380
-88.98295089	4.80315000	-0.89763780
-88.94218289	4.88189000	-0.88976380
-88.90141489	4.88189000	-0.88976380
-88.86064690	4.88189000	-0.88976380
-88.81987890	4.88189000	-0.88976380
-88.77911090	4.88189000	-0.88976380
-88.73834290	4.88189000	-0.88976380
-88.69757490	4.88189000	-0.88976380
-88.65680691	4.80315000	-0.89763780
-88.61603891	4.88189000	-0.88976380
-88.57527091	4.80315000	-0.88976380
-88.53450291	4.88189000	-0.88976380
-88.49373491	4.88189000	-0.88976380
-88.45296691	4.88189000	-0.88976380
-88.41219892	4.88189000	-0.88976380
-88.37143092	4.80315000	-0.88976380
-88.33066292	4.88189000	-0.89763780
-88.28989492	4.80315000	-0.88976380
-88.24912692	4.88189000	-0.88976380
-88.20835893	4.88189000	-0.88976380
-88.16759093	4.88189000	-0.88976380
-88.12682293	4.80315000	-0.88976380
-88.08605493	4.88189000	-0.88976380
-88.04528693	4.88189000	-0.88976380
-88.00451894	4.80315000	-0.88976380
-87.96375094	4.88189000	-0.88976380
-87.92298294	4.88189000	-0.88976380
-87.88221494	4.88189000	-0.88976380
-87.84144694	4.88189000	-0.88976380
-87.80067894	4.88189000	-0.88976380
-87.75991095	4.88189000	-0.88976380
-87.71914295	4.88189000	-0.88976380
-87.67837495	4.80315000	-0.88976380
-87.63760695	4.88189000	-0.88976380
-87.59683895	4.88189000	-0.88976380
-87.55607096	4.88189000	-0.88976380
-87.51530296	4.88189000	-0.89763780
-87.47453496	4.88189000	-0.88976380
-87.43376696	4.88189000	-0.88976380
-87.39299896	4.88189000	-0.88976380
-87.35223096	4.88189000	-0.89763780
-87.31146297	4.88189000	-0.88976380
-87.27069497	4.88189000	-0.88976380
-87.22992697	4.88189000	-0.88976380
-87.18915897	4.88189000	-0.88976380
-87.14839097	4.88189000	-0.88976380
-87.10762298	4.88189000	-0.88976380
-87.06685498	4.88189000	-0.88976380
-87.02608698	4.88189000	-0.88976380
-86.98531898	4.88189000	-0.88976380
-86.94455098	4.88189000	-0.88976380
-86.90378299	4.80315000	-0.89763780
-86.86301499	4.88189000	-0.88976380
-86.82224699	4.80315000	-0.88976380
-86.78147899	4.80315000	-0.89763780
-86.74071099	4.88189000	-0.88976380
-86.69994299	4.88189000	-0.89763780
-86.65917500	4.88189000	-0.88976380
-86.61840700	4.88189000	-0.88976380
-86.57763900	4.88189000	-0.88976380
-86.53687100	4.80315000	-0.89763780
-86.49610300	4.88189000	-0.88976380
-86.45533501	4.88189000	-0.88976380
-86.41456701	4.88189000	-0.88976380
-86.37379901	4.88189000	-0.88976380
-86.33303101	4.88189000	-0.88976380
-86.29226301	4.88189000	-0.88976380
-86.25149501	4.88189000	-0.88976380
-86.21072702	4.88189000	-0.88976380
-86.16995902	4.88189000	-0.88976380
-86.12919102	4.88189000	-0.88976380
-86.08842302	4.88189000	-0.88976380
-86.04765502	4.88189000	-0.88976380
-86.00688703	4.88189000	-0.88976380
-85.96611903	4.88189000	-0.88976380
-85.92535103	4.88189000	-0.88976380
-85.88458303	4.88189000	-0.88976380
-85.84381503	4.88189000	-0.88188980
-85.80304704	4.88189000	-0.88976380
-85.76227904	4.88189000	-0.88976380
-85.72151104	4.88189000	-0.88976380
-85.68074304	4.88189000	-0.88976380
-85.63997504	4.80315000	-0.88976380
-85.59920704	4.88189000	-0.88976380
-85.55843905	4.88189000	-0.88976380
-85.51767105	4.88189000	-0.88976380
-85.47690305	4.88189000	-0.88976380
-85.43613505	4.88189000	-0.88976380
-85.39536705	4.80315000	-0.88976380
-85.35459906	4.88189000	-0.88976380
-85.31383106	4.88189000	-0.88976380
-85.27306306	4.88189000	-0.89763780
-85.23229506	4.80315000	-0.88976380
-85.19152706	4.88189000	-0.88976380
-85.15075907	4.88189000	-0.88976380
-85.10999107	4.88189000	-0.89763780
-85.06922307	4.88189000	-0.88976380
-85.02845507	4.88189000	-0.89763780
-84.98768707	4.88189000	-0.88976380
-84.94691907	4.88189000	-0.88976380
-84.90615108	4.80315000	-0.88976380
-84.86538308	4.88189000	-0.88976380
-84.82461508	4.88189000	-0.88976380
-84.78384708	4.88189000	-0.88976380
-84.74307908	4.88189000	-0.88976380
-84.70231109	4.88189000	-0.88976380
-84.66154309	4.88189000	-0.88976380
-84.62077509	4.88189000	-0.88976380
-84.58000709	4.88189000	-0.89763780
-84.53923909	4.80315000	-0.88976380
-84.49847109	4.88189000	-0.88976380
-84.45770310	4.88189000	-0.88976380
-84.41693510	4.88189000	-0.88976380
-84.37616710	4.88189000	-0.88976380
-84.33539910	4.80315000	-0.88976380
-84.29463110	4.88189000	-0.88976380
-84.25386311	4.88189000	-0.88976380
-84.21309511	4.80315000	-0.88976380
-84.17232711	4.88189000	-0.88976380
-84.13155911	4.80315000	-0.88976380
-84.09079111	4.88189000	-0.88976380
-84.05002312	4.88189000	-0.88976380
-84.00925512	4.88189000	-0.89763780
-83.96848712	4.80315000	-0.88976380
-83.92771912	4.88189000	-0.89763780
-83.88695112	4.80315000	-0.89763780
-83.84618312	4.88189000	-0.88976380
-83.80541513	4.80315000	-0.88976380
-83.76464713	4.88189000	-0.88976380
-83.72387913	4.88189000	-0.88976380
-83.68311113	4.80315000	-0.89763780
-83.64234313	4.88189000	-0.88976380
-83.60157514	4.88189000	-0.88976380
-83.56080714	4.88189000	-0.88976380
-83.52003914	4.88189000	-0.88976380
-83.47927114	4.88189000	-0.88976380
-83.43850314	4.88189000	-0.88976380
-83.39773514	4.88189000	-0.88976380
-83.35696715	4.88189000	-0.88976380
-83.31619915	4.88189000	-0.88976380
-83.27543115	4.80315000	-0.88976380
-83.23466315	4.88189000	-0.88976380
-83.19389515	4.88189000	-0.88976380
-83.15312716	4.80315000	-0.89763780
-83.11235916	4.88189000	-0.88976380
-83.07159116	4.88189000	-0.88976380
-83.03082316	4.88189000	-0.88976380
-82.99005516	4.88189000	-0.89763780
-82.94928717	4.88189000	-0.88976380
-82.90851917	4.88189000	-0.88976380
-82.86775117	4.88189000	-0.88976380
-82.82698317	4.88189000	-0.89763780
-82.78621517	4.88189000	-0.88976380
-82.74544717	4.88189000	-0.89763780
-82.70467918	4.88189000	-0.89763780
-82.66391118	4.88189000	-0.88976380
-82.62314318	4.88189000	-0.88976380
-82.58237518	4.88189000	-0.88976380
-82.54160718	4.88189000	-0.88976380
-82.50083919	4.88189000	-0.88976380
-82.46007119	4.88189000	-0.88976380
-82.41930319	4.88189000	-0.88976380
-82.37853519	4.88189000	-0.88976380
-82.33776719	4.88189000	-0.88976380
-82.29699920	4.88189000	-0.89763780
-82.25623120	4.88189000	-0.88976380
-82.21546320	4.88189000	-0.88976380
-82.17469520	4.88189000	-0.88976380
-82.13392720	4.88189000	-0.88976380
-82.09315920	4.88189000	-0.88976380
-82.05239121	4.88189000	-0.88976380
-82.01162321	4.88189000	-0.88976380
-81.97085521	4.88189000	-0.88976380
-81.93008721	4.88189000	-0.88976380
-81.88931921	4.88189000	-0.88976380
-81.84855122	4.88189000	-0.88976380
-81.80778322	4.80315000	-0.88976380
-81.76701522	4.88189000	-0.88976380
-81.72624722	4.88189000	-0.88976380
-81.68547922	4.88189000	-0.88976380
-81.64471122	4.80315000	-0.88976380
-81.60394323	4.88189000	-0.88976380
-81.56317523	4.88189000	-0.88976380
-81.52240723	4.88189000	-0.88976380
-81.48163923	4.88189000	-0.88976380
-81.44087123	4.88189000	-0.88976380
-81.40010324	4.88189000	-0.88976380
-81.35933524	4.88189000	-0.89763780
-81.31856724	4.80315000	-0.88976380
-81.27779924	4.80315000	-0.88976380
-81.23703124	4.80315000	-0.88976380
-81.19626325	4.88189000	-0.88976380
-81.15549525	4.88189000	-0.88976380
-81.11472725	4.88189000	-0.88976380
-81.07395925	4.88189000	-0.88976380
-81.03319125	4.88189000	-0.88976380
-80.99242325	4.88189000	-0.88976380
-80.95165526	4.80315000	-0.88976380
-80.91088726	4.88189000	-0.88976380
-80.87011926	4.88189000	-0.88976380
-80.82935126	4.88189000	-0.88976380
-80.78858326	4.88189000	-0.89763780
-80.74781527	4.88189000	-0.88976380
-80.70704727	4.80315000	-0.88976380
-80.66627927	4.88189000	-0.88976380
-80.62551127	4.88189000	-0.88976380
-80.58474327	4.88189000	-0.88976380
-80.54397527	4.88189000	-0.88976380
-80.50320728	4.88189000	-0.88976380
-80.46243928	4.88189000	-0.89763780
-80.42167128	4.80315000	-0.89763780
-80.38090328	4.88189000	-0.89763780
-80.34013528	4.88189000	-0.88976380
-80.29936729	4.88189000	-0.88976380
-80.25859929	4.80315000	-0.89763780
-80.21783129	4.80315000	-0.89763780
-80.17706329	4.88189000	-0.88976380
-80.13629529	4.88189000	-0.88976380
-80.09552730	4.88189000	-0.89763780
-80.05475930	4.88189000	-0.88976380
-80.01399130	4.88189000	-0.88976380
-79.97322330	4.88189000	-0.88976380
-79.93245530	4.88189000	-0.88976380
-79.89168730	4.88189000	-0.88976380
-79.85091931	4.88189000	-0.88976380
-79.81015131	4.80315000	-0.88976380
-79.76938331	4.88189000	-0.88976380
-79.72861531	4.88189000	-0.89763780
-79.68784731	4.88189000	-0.88976380
-79.64707932	4.88189000	-0.88976380
-79.60631132	4.88189000	-0.89763780
-79.56554332	4.88189000	-0.88976380
-79.52477532	4.80315000	-0.89763780
-79.48400732	4.88189000	-0.88976380
-79.44323932	4.80315000	-0.88976380
-79.40247133	4.88189000	-0.88976380
-79.36170333	4.80315000	-0.88976380
-79.32093533	4.88189000	-0.88976380
-79.28016733	4.88189000	-0.88976380
-79.23939933	4.88189000	-0.88976380
-79.19863134	4.80315000	-0.88976380
-79.15786334	4.88189000	-0.88976380
-79.11709534	4.88189000	-0.88976380
-79.07632734	4.88189000	-0.89763780
-79.03555934	4.88189000	-0.89763780
-78.99479135	4.88189000	-0.88976380
-78.95402335	4.88189000	-0.88976380
-78.91325535	4.88189000	-0.88976380
-78.87248735	4.88189000	-0.89763780
-78.83171935	4.88189000	-0.88976380
-78.79095135	4.88189000	-0.88976380
-78.75018336	4.88189000	-0.89763780
-78.70941536	4.80315000	-0.89763780
-78.66864736	4.88189000	-0.88976380
-78.62787936	4.88189000	-0.88976380
-78.58711136	4.88189000	-0.89763780
-78.54634337	4.88189000	-0.89763780
-78.50557537	4.88189000	-0.88976380
-78.46480737	4.88189000	-0.88976380
-78.42403937	4.80315000	-0.88976380
-78.38327137	4.88189000	-0.89763780
-78.34250338	4.80315000	-0.88976380
-78.30173538	4.88189000	-0.88976380
-78.26096738	4.88189000	-0.88976380
-78.22019938	4.80315000	-0.88976380
-78.17943138	4.80315000	-0.88976380
-78.13866338	4.88189000	-0.88976380
-78.09789539	4.88189000	-0.88976380
-78.05712739	4.88189000	-0.88976380
-78.01635939	4.88189000	-0.89763780
-77.97559139	4.88189000	-0.88976380
-77.93482339	4.88189000	-0.88976380
-77.89405540	4.88189000	-0.88976380
-77.85328740	4.88189000	-0.89763780
-77.81251940	4.88189000	-0.88976380
-77.77175140	4.88189000	-0.88976380
-77.73098340	4.80315000	-0.88976380
-77.69021540	4.88189000	-0.88976380
-77.64944741	4.80315000	-0.89763780
-77.60867941	4.80315000	-0.88976380
-77.56791141	4.88189000	-0.88976380
-77.52714341	4.88189000	-0.88976380
-77.48637541	4.88189000	-0.88976380
-77.44560742	4.88189000	-0.88976380
-77.40483942	4.88189000	-0.89763780
-77.36407142	4.88189000	-0.88976380
-77.32330342	4.88189000	-0.88976380
-77.28253542	4.88189000	-0.88976380
-77.24176743	4.80315000	-0.88976380
-77.20099943	4.88189000	-0.88976380
-77.16023143	4.88189000	-0.88976380
-77.11946343	4.80315000	-0.88976380
-77.07869543	4.88189000	-0.88976380
-77.03792743	4.88189000	-0.89763780
-76.99715944	4.88189000	-0.88976380
-76.95639144	4.80315000	-0.88976380
-76.91562344	4.88189000	-0.88976380
-76.87485544	4.80315000	-0.88976380
-76.83408744	4.88189000	-0.88976380
-76.79331945	4.88189000	-0.88976380
-76.75255145	4.88189000	-0.88976380
-76.71178345	4.88189000	-0.89763780
-76.67101545	4.80315000	-0.89763780
-76.63024745	4.88189000	-0.88976380
-76.58947945	4.88189000	-0.89763780
-76.54871146	4.88189000	-0.88976380
-76.50794346	4.88189000	-0.88976380
-76.46717546	4.88189000	-0.88976380
-76.42640746	4.88189000	-0.88976380
-76.38563946	4.88189000	-0.88976380
-76.34487147	4.88189000	-0.89763780
-76.30410347	4.88189000	-0.89763780
-76.26333547	4.88189000	-0.89763780
-76.22256747	4.88189000	-0.89763780
-76.18179947	4.88189000	-0.88976380
-76.14103148	4.88189000	-0.88976380
-76.10026348	4.88189000	-0.88976380
-76.05949548	4.88189000	-0.88976380
-76.01872748	4.88189000	-0.88976380
-75.97795948	4.80315000	-0.89763780
-75.93719148	4.88189000	-0.88976380
-75.89642349	4.88189000	-0.88976380
-75.85565549	4.88189000	-0.88976380
-75.81488749	4.80315000	-0.88976380
-75.77411949	4.88189000	-0.89763780
-75.73335149	4.88189000	-0.88976380
-75.69258350	4.88189000	-0.88976380
-75.65181550	4.88189000	-0.88976380
-75.61104750	4.88189000	-0.88976380
-75.57027950	4.88189000	-0.89763780
-75.52951150	4.88189000	-0.88976380
-75.48874351	4.88189000	-0.88976380
-75.44797551	4.80315000	-0.89763780
-75.40720751	4.88189000	-0.88976380
-75.36643951	4.88189000	-0.88976380
-75.32567151	4.88189000	-0.88976380
-75.28490351	4.88189000	-0.88976380
-75.24413552	4.80315000	-0.89763780
-75.20336752	4.80315000	-0.89763780
-75.16259952	4.88189000	-0.88976380
-75.12183152	4.88189000	-0.88976380
-75.08106352	4.80315000	-0.88976380
-75.04029553	4.88189000	-0.88976380
-74.99952753	4.80315000	-0.88976380
-74.95875953	4.88189000	-0.88976380
-74.91799153	4.88189000	-0.88976380
-74.87722353	4.88189000	-0.88976380
-74.83645553	4.88189000	-0.88976380
-74.79568754	4.88189000	-0.88976380
-74.75491954	4.88189000	-0.88976380
-74.71415154	4.88189000	-0.88976380
-74.67338354	4.88189000	-0.88976380
-74.63261554	4.80315000	-0.89763780
-74.59184755	4.80315000	-0.88976380
-74.55107955	4.88189000	-0.88976380
-74.51031155	4.88189000	-0.88976380
-74.46954355	4.88189000	-0.88976380
-74.42877555	4.88189000	-0.89763780
-74.38800756	4.88189000	-0.88976380
-74.34723956	4.80315000	-0.88976380
-74.30647156	4.88189000	-0.89763780
-74.26570356	4.88189000	-0.88976380
-74.22493556	4.88189000	-0.88976380
-74.18416756	4.88189000	-0.89763780
-74.14339957	4.88189000	-0.89763780
-74.10263157	4.88189000	-0.88976380
-74.06186357	4.88189000	-0.89763780
-74.02109557	4.88189000	-0.88976380
-73.98032757	4.88189000	-0.88976380
-73.93955958	4.88189000	-0.88976380
-73.89879158	4.88189000	-0.89763780
-73.85802358	4.88189000	-0.89763780
-73.81725558	4.88189000	-0.89763780
-73.77648758	4.88189000	-0.88976380
-73.73571958	4.88189000	-0.89763780
-73.69495159	4.88189000	-0.88976380
-73.65418359	4.88189000	-0.88976380
-73.61341559	4.88189000	-0.88976380
-73.57264759	4.80315000	-0.88188980
-73.53187959	4.88189000	-0.88976380
-73.49111160	4.80315000	-0.89763780
-73.45034360	4.88189000	-0.88976380
-73.40957560	4.88189000	-0.89763780
-73.36880760	4.88189000	-0.88976380
-73.32803960	4.88189000	-0.88976380
-73.28727161	4.88189000	-0.88976380
-73.24650361	4.88189000	-0.88976380
-73.20573561	4.88189000	-0.88976380
-73.16496761	4.88189000	-0.88976380
-73.12419961	4.88189000	-0.89763780
-73.08343161	4.88189000	-0.88976380
-73.04266362	4.88189000	-0.88976380
-73.00189562	4.88189000	-0.88976380
-72.96112762	4.88189000	-0.88976380
-72.92035962	4.88189000	-0.89763780
-72.87959162	4.88189000	-0.89763780
-72.83882363	4.88189000	-0.88976380
-72.79805563	4.88189000	-0.88976380
-72.75728763	4.88189000	-0.88976380
-72.71651963	4.88189000	-0.88976380
-72.67575163	4.88189000	-0.89763780
-72.63498363	4.88189000	-0.88976380
-72.59421564	4.88189000	-0.88976380
-72.55344764	4.80315000	-0.88976380
-72.51267964	4.80315000	-0.88976380
-72.47191164	4.80315000	-0.88976380
-72.43114364	4.88189000	-0.89763780
-72.39037565	4.88189000	-0.88976380
-72.34960765	4.88189000	-0.88976380
-72.30883965	4.88189000	-0.88976380
-72.26807165	4.80315000	-0.88976380
-72.22730365	4.88189000	-0.88976380
-72.18653566	4.88189000	-0.89763780
-72.14576766	4.88189000	-0.88976380
-72.10499966	4.88189000	-0.88976380
-72.06423166	4.80315000	-0.89763780
-72.02346366	4.88189000	-0.88976380
-71.98269566	4.88189000	-0.88976380
-71.94192767	4.88189000	-0.88976380
-71.90115967	4.80315000	-0.89763780
-71.86039167	4.88189000	-0.88976380
-71.81962367	4.80315000	-0.88976380
-71.77885567	4.88189000	-0.88976380
-71.73808768	4.88189000	-0.88976380
